themeID,themeName,themeDescription,themeSource,themeBaseDate,isActive,isMain,insertTime,updateTime
1011,"燃气","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1020,"厦门自贸",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1024,"透析",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1025,"农林牧渔","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1028,"安全",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1035,"国策",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1037,"广电网络",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1040,"大安全",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1042,"改革预期",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1046,"通航",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1047,"玩具",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1049,"航空航天",,1,"2016-04-01",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1050,"航空",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1051,"轨交",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1054,"申万",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1056,"银行改革",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1061,"军工改制",,1,"2016-04-01",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1079,"国企",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1082,"安全生产",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1083,"雷达",,1,"2016-04-01",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:07"
1099,"智能驾驶",,1,"2016-03-31",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:08"
1102,"中国高铁",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:08"
1109,"家具","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:08"
1110,"聚宝盆",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:08"
1113,"武器装备",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:08"
